 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X	 X
19.25214386	13.98970795	30.01435852	10.38352680	15.45510006	4.49166441	-10.00054932	6.67515087	1.83867657	10.31881905	-1.42135978	-5.36545229	35.41931152	63.76510239	-31.54000854	40.61045837	51.56782150	1.91481698	18.52708244	94.66727448	-121.53120422	114.99567413	134.93655396	-16.09413528	-778.43933105	-43.02830124	2.77714205	-0.82165670	0.69992959	4.34674120	0.19242865	-0.26517379	8.74826431	-9.17307663	1.52996349	1783.65747070	-258.99377441	-363.23608398	374.07720947	-349.67440796	0.30677325	-0.01523083	1.10202861	0.81066597	-0.15119761	0.30231196	61.87555313	-2.35734224	-10.00043774	2.03082657	-13.67341232	2.32053447	11.75747204	-0.00909019	-0.43484819	-1407.07690430	-1031.68969727	-81.77669525	-170.79855347	277.60919189	2.59529638	-9.80385113	43.53245926
19.29253769	14.08003712	29.59348106	10.17077255	15.83835030	4.02918768	-9.33867455	7.11189270	2.31677651	9.88591099	-2.31132579	-5.78489971	35.84291458	63.30701065	-30.73059654	39.35781860	53.28767776	0.76405042	19.36225510	84.00628662	-99.50899506	113.95132446	132.24226379	-10.83224487	-783.77459717	-44.24149704	1.64729083	-0.59087294	0.37502357	2.88863111	0.40332872	-0.72880322	6.78907204	-6.49167681	0.72853500	1811.76123047	-176.44175720	-338.28771973	125.13928223	-301.12268066	0.30838355	-0.01526618	1.10271609	0.01359934	0.19323909	0.07279807	39.81349945	-1.52647483	-6.62571430	-4.69939804	-4.46760464	1.99392664	5.72621775	-0.73728043	0.47992003	-1120.35729980	-1127.35107422	-1.36733758	-216.55776978	451.66256714	3.10273933	-10.24338341	44.67539978
19.41074753	13.83588123	29.69515419	10.20568371	16.09323311	4.00748825	-9.03623199	7.48224688	2.52864766	9.80214405	-3.32670546	-5.87462664	37.75328827	62.50224304	-28.42031097	38.26882172	53.36151123	-0.27762750	20.77957535	68.42302704	-74.77856445	113.51123810	127.78050995	-4.26961327	-786.93487549	-43.89816284	0.51743966	-0.36008921	0.05011759	1.43052101	0.61422879	-1.19243264	4.82987928	-3.81027675	-0.07289343	1839.86499023	-93.88974762	-313.33935547	-123.79864502	-252.57095337	0.30686390	-0.01394262	1.10251391	-0.78346729	0.53767580	-0.15671581	17.75144577	-0.69560730	-3.25099111	-11.42962265	4.73820305	1.66731882	-0.30503637	-1.46547067	1.39468825	-833.63775635	-1223.01245117	79.04201508	-262.31698608	625.71594238	3.67021179	-10.27496243	44.31653214
19.54283905	13.47802830	30.09099388	10.37019730	16.30272865	4.26279831	-8.91180325	7.82515430	2.56092525	9.91144848	-4.36833858	-5.76331425	40.29070663	61.52360153	-25.29469299	37.24909592	52.52886963	-1.13411546	22.36961174	51.61527634	-50.72209549	113.34499359	123.05786133	2.66504192	-789.25689697	-42.90292358	0.62953961	-0.20359413	-0.11350668	1.16456783	0.49815977	-1.10079277	3.84431648	-3.06932521	-0.21720801	1602.02807617	-74.26921082	-299.06399536	-186.80680847	-207.53996277	0.30354929	-0.01185558	1.10177302	-1.15658867	0.69251102	-0.27529505	14.44714928	-0.43913317	-2.84850955	-11.06434917	4.26929331	1.09442675	-0.61712348	-1.04740775	1.37033582	-751.63220215	-1092.40490723	101.36962128	-263.70999146	616.04766846	4.27482319	-10.06421566	43.33012772
19.65697670	13.14570427	30.63222313	10.58522129	16.52278519	4.67509174	-8.83429909	8.16190910	2.47469926	10.09632969	-5.35157537	-5.54378176	42.84514999	60.50923920	-21.89067650	36.29029846	51.26437378	-1.73006177	23.81546211	36.18008804	-29.92294502	113.29402924	119.08867645	8.44990349	-791.13494873	-41.78194809	0.07013139	-0.21732275	-0.42245290	0.16585357	0.10403773	-0.96509141	2.28720284	-1.34050882	-0.29689664	1318.42919922	-23.84719849	-269.78713989	-336.27288818	-134.88681030	0.29943657	-0.00945223	1.10075247	-1.27722216	0.73462719	-0.32820821	1.93138170	-0.07013586	-0.59933078	-8.65978909	5.84189367	0.81374621	-2.24086428	-0.95682949	1.13409519	-558.41467285	-959.53179932	153.72857666	-275.61422729	649.00207520	4.89200926	-9.73091221	42.22580338
19.74856186	12.90832329	31.22892761	10.79949474	16.78824615	5.15926790	-8.71430111	8.50331783	2.31403661	10.27107620	-6.22044563	-5.28164530	45.05364227	59.55601120	-18.58791161	35.41434479	49.87500381	-2.03898048	24.93471718	23.44667625	-13.56665230	113.28018188	116.29907227	12.16059589	-792.74822998	-40.81085205	-0.13008861	-0.51239634	-0.26090294	-0.24310279	-0.50857311	-0.31517813	0.98989612	-0.53779024	0.13393997	903.34039307	-9.90258694	-242.51400757	-372.51110840	-61.94430161	0.29522657	-0.00704244	1.09963596	-1.22766042	0.70223755	-0.33600780	-0.19122680	-0.14733739	0.18406948	0.63912404	0.65992022	0.40426677	0.04517952	0.42974356	0.03763886	-479.18786621	-693.69134521	172.52819824	-257.05984497	566.02197266	5.50272608	-9.35785961	41.27068710
19.82235146	12.78133678	31.83638954	10.98598576	17.11748123	5.65824938	-8.49860954	8.85372162	2.11051869	10.37775040	-6.94692230	-5.02071571	46.76110458	58.72249603	-15.62259579	34.64346313	48.54734039	-2.08337259	25.67153740	13.79832554	-1.73254526	113.26920319	114.67161560	13.90110302	-794.21441650	-40.09048843	0.04176143	-0.32129455	-0.21801271	-0.07720451	-0.33030042	-0.26485488	0.47289085	-0.34947303	-0.07320637	488.02752686	-7.18889380	-211.79635620	-360.06192017	4.43785334	0.29136902	-0.00482138	1.09854519	-1.07578242	0.62565649	-0.31507978	0.00922419	-0.06867176	-0.01688369	-0.05417291	0.09495548	0.00655975	0.03481796	0.65817297	0.10712277	-420.89694214	-422.13925171	177.74595642	-223.57623291	443.17587280	6.09409428	-8.99815464	40.56335068
19.87654495	12.74839401	32.43644333	11.13674164	17.51476097	6.13513994	-8.16523361	9.21214104	1.88736272	10.38211346	-7.52402449	-4.78773451	47.95758438	58.03698349	-13.11617184	33.99145508	47.37429047	-1.91483843	26.05456161	7.07315397	6.10938597	113.24768829	113.95568848	14.34188843	-795.56359863	-39.62169266	0.26307413	-0.08982034	-0.39100420	0.07226607	-0.24834187	-0.22954965	0.48053026	-0.34730667	-0.10413944	170.52696228	-7.85859060	-179.71986389	-322.73095703	57.37119293	0.28811336	-0.00289712	1.09755456	-0.87386960	0.52714378	-0.27752733	-0.02924172	-0.04712383	-0.01693138	-0.07296944	-0.00414157	0.06037298	0.05143975	0.30454162	0.09847379	-367.99871826	-202.67285156	176.13046265	-183.20414734	316.10482788	6.65659380	-8.68241024	40.10676575
19.90327644	12.77805328	33.02125168	11.25404739	17.97297668	6.56737709	-7.71698761	9.57374573	1.66202033	10.26892185	-7.95916986	-4.59691525	48.71859741	57.50489807	-11.10499954	33.45829773	46.38079834	-1.59647346	26.15911293	2.83895922	10.74881268	113.21009827	113.82585144	14.14894962	-796.74945068	-39.35980606	0.12225327	-0.17101982	-0.26846707	0.00655826	-0.24919687	-0.19987428	0.26573631	-0.33178836	-0.12469492	-16.46160126	-6.85261488	-148.96664429	-276.19274902	93.86177063	0.28556040	-0.00131493	1.09670401	-0.65886998	0.42252955	-0.23235117	0.01583386	-0.05589277	0.03527544	-0.07783654	0.16700958	0.02218574	0.18507312	0.61206079	0.05246015	-312.92449951	-54.87546921	171.41712952	-141.94731140	205.59436035	7.18265963	-8.42547894	39.85993958
19.89908981	12.83616447	33.58582687	11.34407902	18.47808647	6.94348907	-7.17313528	9.93269157	1.44669127	10.03627491	-8.26790333	-4.45359278	49.15238953	57.11579895	-9.56938744	33.02826309	45.55684662	-1.19125807	26.07756042	0.56235874	13.02064991	113.16747284	113.99422455	13.72351837	-797.71203613	-39.24172592	0.07657417	-0.09293928	-0.14155179	-0.03318770	-0.10014167	-0.18450461	0.23444785	-0.11955716	-0.09988052	-93.71504974	-2.24790025	-121.10250092	-229.42134094	113.87623596	0.28371099	-0.00007572	1.09600711	-0.45454904	0.32279149	-0.18624514	-0.05816975	-0.05917637	0.02525550	-0.08346698	0.03692693	-0.02856071	-0.04772548	0.13939643	-0.01560512	-255.23939514	26.84986687	165.22563171	-103.88837433	120.12751770	7.66712475	-8.23181725	39.76233673
